Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06,Idxtrd07,Idxtrd08
300,2010/1/4,3592.47,3597.75,3535.23,3535.23,661010.8,9341983.89,-1.1313
300,2010/1/5,3545.19,3577.53,3497.66,3564.04,858096.41,12830244.26,0.8149
300,2010/1/6,3558.7,3588.83,3541.17,3541.73,784731.25,12104598.99,-0.626
300,2010/1/7,3543.16,3558.56,3452.77,3471.46,803500.37,12043616.63,-1.9841
300,2010/1/8,3456.91,3482.08,3426.7,3480.13,607902.53,9019096,0.2498
300,2010/1/11,3593.11,3594.53,3465.32,3482.05,899801.72,13411400.11,0.0552
300,2010/1/12,3477.84,3535.41,3437.66,3534.92,937432.78,13407141.64,1.5184
300,2010/1/13,3448.29,3490.11,3415.69,3421.14,1124579.01,15986038.46,-3.2187
300,2010/1/14,3433.47,3470.32,3411.81,3469.05,833532.52,11810787.01,1.4004
300,2010/1/15,3472.52,3500.07,3448.66,3482.74,725431.02,10403517.58,0.3946
300,2010/1/18,3471.78,3501.26,3458.04,3500.68,828543.07,11788425.85,0.5151
300,2010/1/19,3506.81,3528.39,3497.09,3507.48,748832.32,10802352.55,0.1942
300,2010/1/20,3512.25,3515.45,3387.82,3394.43,924951.46,12841616.46,-3.2231
300,2010/1/21,3397.04,3425.18,3364.72,3408.57,705950.68,10007660.7,0.4166
300,2010/1/22,3364.45,3390.8,3293.19,3366.2,889334.04,11919781.58,-1.243
300,2010/1/25,3340.01,3372.43,3326.27,3328.01,568491.71,7662662.68,-1.1345
300,2010/1/26,3328.11,3341.2,3222.14,3242.8,617522.31,8158605.92,-2.5604
300,2010/1/27,3243.04,3255.12,3183.37,3198.57,526913.94,7054027.32,-1.3639
300,2010/1/28,3195.29,3220.31,3168.46,3206.57,469907.16,6408211.57,0.2501
300,2010/1/29,3190.32,3249.46,3176.92,3204.16,502626.13,6801811.87,-0.0752
